Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR22402383;11;1;0;133;8;12;18;0;484510;0;0;0;0;0;0;0;0;0;0;161;1;2;151;668418;3;3;9;0;1;741966;51;0;3266;9;4471303;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;16697814;0;3;0;0;135;0;0;0;0;0;0;2216;0;0
SRR22402262;110;14;68;295;464;544;556;0;476263;0;169;0;0;8;289;1;0;4;0;518;141;29;12282;1474785;1;1453;661;21;431;417902;665619;22;4515;653;11875949;0;569977;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;10964329;0;171;0;7;633;3;0;3;0;0;0;11;0;0
SRR22402316;112;0;14;979;68;113;48;1;116919;0;0;0;2;0;2;0;1;2;0;0;2;81;212;349263;8;56;32;0;21;65185;57075;7;9325;6;6542561;0;23262;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18632789;0;56;0;4;107;0;0;0;0;0;0;0;0;0
SRR22402361;95;0;52;118;527;192;443;0;730817;0;12;0;0;2;19;0;0;13;1;43;42;14;860;663143;269;181;208;2;141;589734;1222428;12;6735;27;13037828;0;4305;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13950008;0;272;0;32;76;1;0;1;0;0;0;20;0;0
SRR22402266;6;0;0;287;45;0;59;0;546451;0;0;0;1;0;0;0;0;2;1;33;1;0;100;288189;0;0;15;0;1;70097;2;0;2466;0;5802573;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;28475040;0;8;0;0;309;0;0;0;0;1;0;0;0;0
SRR22402331;16;0;0;4486;7;2;14;0;536962;0;0;0;0;0;0;0;0;0;1;2;0;0;903;229566;0;8;13;0;1;221236;172;0;445;0;8124478;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;34841638;1;14;0;0;201;0;0;0;0;0;0;0;0;0
SRR22402311;278;30;95;1182;12060;87032;595;0;222999;0;7;1;1;3;28;3854;0;9;1;92;183;19;525;601405;78;2263;367;13;280;136624;909153;184;11943;25;3928291;0;98756;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;9248642;1;484;1;1;0;0;0;0;0;0;0;0;0;0
SRR15595343;0;0;0;0;0;2;0;0;19212;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;0;4355;39;8;0;0;9094;0;0;78;0;0;0;0;0;0;0;0;5;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;6;0;2;50;26;9561;15;0;80462;0;0;2;0;0;2;0;0;0;1;13;0;12;7;291;1;15;23;0;1;58021;40405;0;0;0;1988684;0;14;102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3645017;0;13;1;0;0;0;0;0;0;0;0;0;0;0
SRR15595344;0;0;0;0;0;4;1;0;3950;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1141;0;0;0;0;3746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0
