Sample;Petrosaviidae;Pterygota;Autobranchia;Neopterygii;Dothideomycetidae;Eumalacostraca;Chondrostei;Dipnomorpha;Acari;Testudinata;Elasmobranchii;Hypocreomycetidae;Xylariomycetidae;Sordariomycetidae;Hirudinea;Neomphalina;Coleoidea;Digenea;Oscillatoriophycideae;Sphaerobacteridae;Heteroscleromorpha
SRR15595323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRR22402351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0
SRR15595287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402357;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402334;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR15595325;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402373;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
SRR15595322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402294;287;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
